 cookie=0x0, duration=20.854s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48233,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.854s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48234,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.854s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48235,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.854s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48236,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.854s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48237,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.853s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48238,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.853s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48239,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.853s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48240,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.853s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48241,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.853s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48242,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.853s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48243,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.853s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48244,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.853s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48245,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.853s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48246,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.841s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48247,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.776s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48248,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.776s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48249,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.776s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48250,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.776s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48251,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.776s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48252,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.776s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48253,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.776s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48254,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.775s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48255,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.775s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48256,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.775s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48257,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.775s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48258,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.774s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48259,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.774s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48260,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.774s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48261,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.774s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48262,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.774s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48263,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.774s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48264,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.770s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48265,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.770s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48266,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.770s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48267,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.770s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48268,tp_dst=0 actions=output:49
